Date,Close
2015-01-02,169.68780517578125
2015-01-05,166.6234130859375
2015-01-06,165.05389404296875
2015-01-07,167.1106719970703
2015-01-08,170.07608032226562
2015-01-09,168.71310424804688
2015-01-12,167.3915252685547
2015-01-13,166.920654296875
2015-01-14,165.91294860839844
2015-01-15,164.39306640625
2015-01-16,166.54898071289062
2015-01-20,166.90415954589844
2015-01-21,167.7467498779297
2015-01-22,170.24127197265625
2015-01-23,169.30784606933594
2015-01-26,169.70437622070312
2015-01-27,167.46592712402344
2015-01-28,165.31822204589844
2015-01-29,166.84634399414062
2015-01-30,164.74830627441406
2015-02-02,166.78851318359375
2015-02-03,169.20054626464844
2015-02-04,168.5562286376953
2015-02-05,170.25779724121094
2015-02-06,169.78701782226562
2015-02-09,169.02703857421875
2015-02-10,170.82774353027344
2015-02-11,170.9268798828125
2015-02-12,172.5706329345703
2015-02-13,173.28102111816406
2015-02-17,173.55360412597656
2015-02-18,173.57012939453125
2015-02-19,173.44615173339844
2015-02-20,174.4869842529297
2015-02-23,174.462158203125
2015-02-24,174.95779418945312
2015-02-25,174.80914306640625
2015-02-26,174.6026153564453
2015-02-27,174.00794982910156
2015-03-02,175.1065216064453
2015-03-03,174.38784790039062
2015-03-04,173.65272521972656
2015-03-05,173.8427276611328
2015-03-06,171.39768981933594
2015-03-09,172.10806274414062
2015-03-10,169.3161163330078
2015-03-11,168.9196319580078
2015-03-12,171.06729125976562
2015-03-13,170.01824951171875
2015-03-16,172.28981018066406
2015-03-17,171.77767944335938
2015-03-18,173.8427276611328
2015-03-19,173.0497283935547
2015-03-20,174.5771942138672
2015-03-23,174.23703002929688
2015-03-24,173.2579803466797
2015-03-25,170.7190704345703
2015-03-26,170.3125762939453
2015-03-27,170.70252990722656
2015-03-30,172.78504943847656
2015-03-31,171.27499389648438
2015-04-01,170.66929626464844
2015-04-02,171.2833251953125
2015-04-06,172.4365692138672
2015-04-07,171.980224609375
2015-04-08,172.56101989746094
2015-04-09,173.32431030273438
2015-04-10,174.27024841308594
2015-04-13,173.48199462890625
2015-04-14,173.8138885498047
2015-04-15,174.59381103515625
2015-04-16,174.5439910888672
2015-04-17,172.53616333007812
2015-04-20,174.112548828125
2015-04-21,173.9051513671875
2015-04-22,174.75978088378906
2015-04-23,175.19949340820312
2015-04-24,175.6060028076172
2015-04-27,174.87591552734375
2015-04-28,175.43182373046875
2015-04-29,174.70997619628906
