Date,Close
2015-01-02,2775.6103515625
2015-01-05,2740.4619140625
2015-01-06,2741.527099609375
2015-01-07,2759.633056640625
2015-01-08,2841.643798828125
2015-01-09,2796.911376953125
2015-01-12,2852.295654296875
2015-01-13,2878.923828125
2015-01-14,2853.361083984375
2015-01-15,2909.809326171875
2015-01-16,2925.786376953125
2015-01-19,2906.614501953125
2015-01-20,2889.573974609375
2015-01-21,2958.804443359375
2015-01-22,2966.259521484375
2015-01-23,3039.751708984375
2015-01-26,3080.222900390625
2015-01-27,3073.832763671875
2015-01-28,3085.549072265625
2015-01-29,3144.1279296875
2015-01-30,3120.697021484375
2015-02-02,3103.65576171875
2015-02-03,3086.613525390625
2015-02-04,3071.702880859375
2015-02-05,3019.754150390625
2015-02-06,2984.60302734375
2015-02-09,2986.7333984375
2015-02-10,2994.18994140625
2015-02-11,3002.710693359375
2015-02-12,2977.1455078125
2015-02-13,2970.755615234375
2015-02-16,2928.14892578125
2015-02-17,2983.537841796875
2015-02-18,2950.517578125
2015-02-19,2987.798828125
2015-02-20,2982.472412109375
2015-02-23,3027.20947265625
2015-02-24,3047.447998046875
2015-02-25,3026.143798828125
2015-02-26,3054.905029296875
2015-02-27,3052.774658203125
2015-03-02,3062.35986328125
2015-03-03,3058.10009765625
2015-03-04,3067.686279296875
2015-03-05,3102.836669921875
2015-03-06,3058.10009765625
2015-03-09,3012.297607421875
2015-03-10,2981.408203125
2015-03-11,3006.9716796875
2015-03-12,3002.710693359375
2015-03-13,3030.405517578125
2015-03-16,3074.076904296875
2015-03-17,3067.686279296875
2015-03-18,3116.683349609375
2015-03-19,3085.7939453125
2015-03-20,3088.989501953125
2015-03-23,3094.315673828125
2015-03-24,3096.44580078125
2015-03-25,3067.686279296875
2015-03-26,3041.05615234375
2015-03-27,3036.79638671875
2015-03-30,3075.14306640625
2015-03-31,2998.449951171875
2015-04-01,2996.3203125
2015-04-02,3042.121826171875
2015-04-07,3103.90234375
2015-04-08,3069.81640625
2015-04-09,3109.2275390625
2015-04-10,3126.27099609375
2015-04-13,3102.836669921875
2015-04-14,3100.70654296875
2015-04-15,3125.205322265625
2015-04-16,3207.2236328125
2015-04-17,3186.98388671875
2015-04-20,3206.157470703125
2015-04-21,3211.4833984375
2015-04-22,3179.529052734375
2015-04-23,3169.120849609375
2015-04-24,3168.055419921875
2015-04-27,3173.381591796875
2015-04-28,3120.119384765625
2015-04-29,3031.703125
2015-04-30,3053.008544921875
2015-05-01,3062.59521484375
2015-05-05,3018.9208984375
2015-05-06,3006.13720703125
2015-05-07,3021.050537109375
2015-05-08,3082.8349609375
2015-05-11,3041.290283203125
2015-05-12,3002.941162109375
2015-05-13,3000.811279296875
2015-05-14,3041.290283203125
2015-05-15,3030.638671875
2015-05-18,3041.290283203125
2015-05-19,3089.22705078125
2015-05-20,3083.90087890625
2015-05-21,3061.53076171875
2015-05-22,3068.98681640625
2015-05-26,3040.225830078125
2015-05-27,3094.552978515625
2015-05-28,3100.94482421875
2015-05-29,3075.379150390625
2015-06-01,3061.53076171875
2015-06-02,3017.854248046875
2015-06-03,3076.443359375
2015-06-04,3059.399169921875
2015-06-05,3002.941162109375
2015-06-08,2990.157958984375
2015-06-09,2974.1787109375
2015-06-10,3012.52880859375
2015-06-11,3034.8994140625
2015-06-12,2969.919677734375
2015-06-15,2958.20166015625
2015-06-16,2973.114990234375
2015-06-17,2942.22265625
2015-06-18,2955.0048828125
2015-06-19,2952.874755859375
2015-06-22,3041.290283203125
2015-06-23,3045.5517578125
2015-06-24,3037.02978515625
2015-06-25,3028.50732421875
2015-06-26,3016.789794921875
2015-06-29,2935.83154296875
2015-06-30,2908.134521484375
2015-07-01,2957.135498046875
2015-07-02,2934.764892578125
2015-07-03,2910.26318359375
2015-07-06,2900.67724609375
2015-07-07,2891.090087890625
2015-07-08,2958.20166015625
2015-07-09,3002.941162109375
2015-07-10,3068.98681640625
2015-07-13,3068.98681640625
2015-07-14,3089.22705078125
2015-07-15,3075.379150390625
